,idx,price
0,0,0.17784914553787054
1,1,0.1549403379547169
2,2,0.1320315303715633
3,3,0.10912272278840966
4,4,0.08621391520525604
5,5,0.06330510762210241
6,6,0.0740647540166356
7,7,0.0848244004111688
8,8,0.09558404680570198
9,9,0.10634369320023518
10,10,0.11710333959476837
11,11,0.12786298598930157
12,12,0.12439026698113734
13,13,0.12091754797297312
14,14,0.11744482896480889
15,15,0.11397210995664465
16,16,0.11049939094848044
17,17,0.1070266719403162
18,18,0.12289641409909069
19,19,0.13876615625786518
20,20,0.15463589841663966
21,21,0.17050564057541415
22,22,0.18637538273418863
23,23,0.20224512489296312
24,24,0.2094975612643953
25,25,0.21674999763582753
26,26,0.22400243400725972
27,27,0.2312548703786919
28,28,0.23850730675012413
29,29,0.24575974312155632
30,30,0.2726111844002768
31,31,0.29946262567899734
32,32,0.32631406695771786
33,33,0.35316550823643833
34,34,0.38001694951515885
35,35,0.4068683907938794
36,36,0.4276221404254107
37,37,0.448375890056942
38,38,0.4691296396884733
39,39,0.48988338932000464
40,40,0.510637138951536
41,41,0.5313908885830673
42,42,0.49306183940697623
43,43,0.45473279023088514
44,44,0.41640374105479405
45,45,0.378074691878703
46,46,0.339745642702612
47,47,0.3014165935265209
48,48,0.27103480479196046
49,49,0.24065301605740005
50,50,0.21027122732283965
51,51,0.17988943858827922
52,52,0.1495076498537188
53,53,0.11912586111915839
54,54,0.10842548341379683
55,55,0.09772510570843529
56,56,0.08702472800307373
57,57,0.07632435029771217
58,58,0.06562397259235063
59,59,0.05492359488698907
60,60,0.04375031162514953
61,61,0.03257702836330999
62,62,0.021403745101470445
63,63,0.010230461839630903
64,64,-0.0009428214222086395
65,65,-0.012116104684048182
66,66,-0.011286263619932969
67,67,-0.010456422555817758
68,68,-0.009626581491702545
69,69,-0.008796740427587333
70,70,-0.00796689936347212
71,71,-0.007137058299356909
72,72,-0.008418052314263683
73,73,-0.009699046329170456
74,74,-0.01098004034407723
75,75,-0.012261034358984003
76,76,-0.013542028373890777
77,77,-0.014823022388797551
78,78,-0.01109879500350247
79,79,-0.00737456761820739
80,80,-0.0036503402329123094
81,81,7.388715238277124e-05
82,82,0.003798114537677852
83,83,0.0075223419229729326
84,84,0.010025732585440327
85,85,0.012529123247907722
86,86,0.015032513910375118
87,87,0.017535904572842514
88,88,0.02003929523530991
89,89,0.022542685897777304
90,90,0.02034988322871711
91,91,0.01815708055965692
92,92,0.015964277890596727
93,93,0.013771475221536536
94,94,0.011578672552476344
95,95,0.00938586988341615
96,96,0.04860010942162806
97,97,0.08781434895983997
98,98,0.12702858849805188
99,99,0.16624282803626378
100,100,0.20545706757447568
101,101,0.24467130711268764
102,102,0.28272791479217085
103,103,0.32078452247165407
104,104,0.3588411301511373
105,105,0.39689773783062043
106,106,0.4349543455101037
107,107,0.47301095318958686
108,108,0.4908908080999387
109,109,0.5087706630102905
110,110,0.5266505179206423
111,111,0.5445303728309941
112,112,0.562410227741346
113,113,0.5802900826516978
114,114,0.5768315876724629
115,115,0.5733730926932281
116,116,0.5699145977139932
117,117,0.5664561027347583
118,118,0.5629976077555235
119,119,0.5595391127762886
120,120,0.5273217742770469
121,121,0.49510443577780505
122,122,0.46288709727856325
123,123,0.43066975877932145
124,124,0.39845242028007966
125,125,0.3662350817808379
126,126,0.35404544644899943
127,127,0.3418558111171609
128,128,0.3296661757853224
129,129,0.31747654045348395
130,130,0.3052869051216454
131,131,0.29309726978980694
132,132,0.2871401461763186
133,133,0.28118302256283023
134,134,0.2752258989493419
135,135,0.2692687753358536
136,136,0.2633116517223652
137,137,0.2573545281088769
138,138,0.24410363101370916
139,139,0.23085273391854144
140,140,0.2176018368233737
141,141,0.20435093972820598
142,142,0.19110004263303826
143,143,0.17784914553787054
