,idx,price
0,0,0.1714
1,1,0.16591999999999998
2,2,0.16044
3,3,0.15496
4,4,0.14948
5,5,0.144
6,6,0.14308333333333334
7,7,0.14216666666666666
8,8,0.14125
9,9,0.14033333333333334
10,10,0.1394166666666667
11,11,0.1385
12,12,0.14071666666666668
13,13,0.14293333333333333
14,14,0.14515
15,15,0.14736666666666667
16,16,0.14958333333333332
17,17,0.1518
18,18,0.15698333333333334
19,19,0.16216666666666665
20,20,0.16735
21,21,0.17253333333333334
22,22,0.17771666666666666
23,23,0.1829
24,24,0.19763333333333333
25,25,0.21236666666666668
26,26,0.2271
27,27,0.24183333333333332
28,28,0.25656666666666667
29,29,0.2713
30,30,0.3037333333333333
31,31,0.33616666666666667
32,32,0.3686
33,33,0.40103333333333335
34,34,0.43346666666666667
35,35,0.4659
36,36,0.47705
37,37,0.4882
38,38,0.49935
39,39,0.5105000000000001
40,40,0.5216500000000001
41,41,0.5328
42,42,0.4906666666666667
43,43,0.4485333333333334
44,44,0.40640000000000004
45,45,0.36426666666666674
46,46,0.3221333333333334
47,47,0.28
48,48,0.2526333333333334
49,49,0.2252666666666667
50,50,0.19790000000000002
51,51,0.17053333333333337
52,52,0.1431666666666667
53,53,0.1158
54,54,0.10313333333333333
55,55,0.09046666666666667
56,56,0.07780000000000001
57,57,0.06513333333333333
58,58,0.052466666666666675
59,59,0.0398
60,60,0.03643333333333333
61,61,0.03306666666666667
62,62,0.0297
63,63,0.026333333333333334
64,64,0.022966666666666666
65,65,0.0196
66,66,0.018166666666666664
67,67,0.016733333333333333
68,68,0.0153
69,69,0.013866666666666666
70,70,0.012433333333333333
71,71,0.011
72,72,0.0123
73,73,0.0136
74,74,0.0149
75,75,0.0162
76,76,0.0175
77,77,0.0188
78,78,0.019916666666666666
79,79,0.021033333333333334
80,80,0.02215
81,81,0.023266666666666665
82,82,0.024383333333333333
83,83,0.0255
84,84,0.03178333333333333
85,85,0.038066666666666665
86,86,0.04435
87,87,0.050633333333333336
88,88,0.05691666666666667
89,89,0.0632
90,90,0.06861666666666667
91,91,0.07403333333333334
92,92,0.07944999999999999
93,93,0.08486666666666666
94,94,0.09028333333333333
95,95,0.0957
96,96,0.11904999999999999
97,97,0.1424
98,98,0.16575
99,99,0.1891
100,100,0.21244999999999997
101,101,0.2358
102,102,0.27868333333333334
103,103,0.32156666666666667
104,104,0.36445
105,105,0.4073333333333333
106,106,0.45021666666666665
107,107,0.4931
108,108,0.5212166666666667
109,109,0.5493333333333333
110,110,0.57745
111,111,0.6055666666666667
112,112,0.6336833333333334
113,113,0.6618
114,114,0.6409
115,115,0.62
116,116,0.5991
117,117,0.5782
118,118,0.5573
119,119,0.5364
120,120,0.5156
121,121,0.4948
122,122,0.474
123,123,0.4532
124,124,0.4324
125,125,0.4116
126,126,0.3914166666666667
127,127,0.37123333333333336
128,128,0.35105
129,129,0.33086666666666664
130,130,0.3106833333333333
131,131,0.2905
132,132,0.2789
133,133,0.2673
134,134,0.2557
135,135,0.2441
136,136,0.2325
137,137,0.2209
138,138,0.21265
139,139,0.2044
140,140,0.19615
141,141,0.1879
142,142,0.17965
143,143,0.1714
